Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
845819006,javascript.browser.security.eval-detected.eval-detected,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/resources/META-INF/assets/tapestry5/scriptaculous_1_9_0/controls.js#L786,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819006,2026-06-15 18:05:55.426448,2026-06-15 18:05:55.260350,refs/heads/main,,,,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
845819005,javascript.browser.security.eval-detected.eval-detected,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/resources/META-INF/assets/tapestry5/scriptaculous_1_9_0/prototype.js#L612,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819005,2026-06-15 18:05:55.426430,2026-06-15 18:05:55.260345,refs/heads/main,,,,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
845819004,javascript.browser.security.eval-detected.eval-detected,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/resources/META-INF/assets/tapestry5/scriptaculous_1_9_0/prototype.js#L713,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819004,2026-06-15 18:05:55.426413,2026-06-15 18:05:55.260340,refs/heads/main,,,,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
845819003,javascript.browser.security.eval-detected.eval-detected,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/resources/META-INF/assets/tapestry5/scriptaculous_1_9_0/prototype.js#L1643,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819003,2026-06-15 18:05:55.426395,2026-06-15 18:05:55.260334,refs/heads/main,,,,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
845819002,javascript.browser.security.eval-detected.eval-detected,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/tapestry-core/src/main/resources/META-INF/assets/tapestry5/scriptaculous_1_9_0/unittest.js#L476,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845819002,2026-06-15 18:05:55.426377,2026-06-15 18:05:55.260328,refs/heads/main,,,,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources."
845818899,java.lang.security.audit.unsafe-reflection.unsafe-reflection,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/ClassWriter.java#L1681,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845818899,2026-06-15 18:05:55.424564,2026-06-15 18:05:55.259741,refs/heads/main,,,,"If an attacker can supply values that the application then uses to determine which class to instantiate or which method to invoke, the potential exists for the attacker to create control flow paths through the application that were not intended by the application developers. This attack vector may allow the attacker to bypass authentication or access control checks or otherwise cause the application to behave in an unexpected manner."
845818898,java.lang.security.audit.unsafe-reflection.unsafe-reflection,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/ClassWriter.java#L1682,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845818898,2026-06-15 18:05:55.424536,2026-06-15 18:05:55.259736,refs/heads/main,,,,"If an attacker can supply values that the application then uses to determine which class to instantiate or which method to invoke, the potential exists for the attacker to create control flow paths through the application that were not intended by the application developers. This attack vector may allow the attacker to bypass authentication or access control checks or otherwise cause the application to behave in an unexpected manner."
845818897,java.lang.security.audit.unsafe-reflection.unsafe-reflection,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SimpleVerifier.java#L312,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845818897,2026-06-15 18:05:55.424518,2026-06-15 18:05:55.259729,refs/heads/main,,,,"If an attacker can supply values that the application then uses to determine which class to instantiate or which method to invoke, the potential exists for the attacker to create control flow paths through the application that were not intended by the application developers. This attack vector may allow the attacker to bypass authentication or access control checks or otherwise cause the application to behave in an unexpected manner."
845818896,java.lang.security.audit.unsafe-reflection.unsafe-reflection,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SimpleVerifier.java#L315,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845818896,2026-06-15 18:05:55.424501,2026-06-15 18:05:55.259723,refs/heads/main,,,,"If an attacker can supply values that the application then uses to determine which class to instantiate or which method to invoke, the potential exists for the attacker to create control flow paths through the application that were not intended by the application developers. This attack vector may allow the attacker to bypass authentication or access control checks or otherwise cause the application to behave in an unexpected manner."
845818895,java.lang.security.audit.unsafe-reflection.unsafe-reflection,Code,Medium,Open,Low,security,False,,,,,,Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai,https://github.com/Laurin-G/cosec-ai/blob/a0e8f5b3ac334dc8990c49d685a9e07b90c11e4f/L0_prompt/tapestry-5-5.4.3/plastic/src/main/java/org/apache/tapestry5/internal/plastic/PlasticInternalUtils.java#L304,https://semgrep.dev/orgs/lauringehlenborg_personal_org/findings/845818895,2026-06-15 18:05:55.424483,2026-06-15 18:05:55.259714,refs/heads/main,,,,"If an attacker can supply values that the application then uses to determine which class to instantiate or which method to invoke, the potential exists for the attacker to create control flow paths through the application that were not intended by the application developers. This attack vector may allow the attacker to bypass authentication or access control checks or otherwise cause the application to behave in an unexpected manner."
